"family","shape","seed","package","lambda_index","lambda","objective","loss","penalty","kkt","relative_kkt","intercept_kkt","nonzero"
"binomial","tall",74001,"picasso",1,0.0690306098442477,0.692366852568226,0.692366852568226,0,6.33659791304808e-17,9.17940306096848e-16,6.33659791304808e-17,0
"binomial","tall",74001,"picasso",2,0.0631580562184167,0.692297646218886,0.69075255616394,0.00154509005494574,2.73025630674448e-06,4.32284378097239e-05,2.73025630674448e-06,2
"binomial","tall",74001,"picasso",3,0.0577850909080602,0.692055632976551,0.688264599802561,0.0037910331739892,4.36578813127164e-06,7.55479386592754e-05,4.36578813127164e-06,2
"binomial","tall",74001,"picasso",4,0.052869213069276,0.691640307805885,0.686177886793153,0.00546242101273139,5.46982038838323e-06,0.000103448760152327,3.65348992286352e-06,2
"binomial","tall",74001,"picasso",5,0.0483715374786166,0.691020265786867,0.68228433018472,0.00873593560214738,9.35592404979757e-07,1.93414217959479e-05,3.48006091660524e-09,4
"binomial","tall",74001,"picasso",6,0.0442564869459906,0.690046037228527,0.676798289359897,0.0132477478686298,6.90634346734581e-06,0.000156028332987988,9.42953796426171e-09,6
"binomial","tall",74001,"picasso",7,0.0404915108945314,0.688694258785976,0.671737317732372,0.0169569410536036,8.28196687079757e-06,0.000204494055047146,1.12620888518822e-08,6
"binomial","tall",74001,"picasso",8,0.0370468278813642,0.687058166506374,0.667210135614556,0.0198480308918176,7.81622766574119e-06,0.000210937869022373,1.57302033657325e-08,9
"binomial","tall",74001,"picasso",9,0.0338951900225779,0.685096657671421,0.660301853819038,0.0247948038523822,7.48269384123063e-06,0.000220711030773888,1.61063549700691e-08,15
"binomial","tall",74001,"picasso",10,0.0310116674589726,0.682622793323858,0.65173461562557,0.0308881776982877,9.85804909236707e-06,0.000317780925693166,2.71850138586771e-08,18
"binomial","tall",74001,"picasso",11,0.0283734511576802,0.679620834917332,0.643074545355147,0.0365462895621849,1.16371278241663e-05,0.000409973282701013,3.02119451337929e-08,21
"binomial","tall",74001,"picasso",12,0.0259596724897918,0.676127212387099,0.634134764666912,0.0419924477201869,1.23457036369859e-05,0.000475346334083098,2.95775077222837e-08,25
"binomial","tall",74001,"picasso",13,0.0237512381568302,0.672178080960637,0.62565841275769,0.0465196682029476,1.28095769690237e-05,0.000539031780802427,2.83750044948183e-08,25
"binomial","tall",74001,"picasso",14,0.021730679160313,0.66787813282805,0.617903020387854,0.0499751124401951,1.36569290418061e-05,0.000628068338609428,2.51985328552778e-08,27
"binomial","tall",74001,"picasso",15,0.0198820126197363,0.663319979552082,0.610850614721275,0.0524693648308078,1.33350147181015e-05,0.000670257939851634,2.21156767270941e-08,30
"binomial","tall",74001,"picasso",16,0.018190615345943,0.658570023134547,0.604420119585673,0.0541499035488746,1.3278396340053e-05,0.000729426161679393,2.09685728365244e-08,30
"binomial","tall",74001,"picasso",17,0.016643108169823,0.653713929159084,0.598749873545045,0.0549640556140386,1.45201901630733e-05,0.000871684122690167,1.8397534135059e-08,33
"binomial","tall",74001,"picasso",18,0.0152272501113716,0.648806175684287,0.593501413342834,0.0553047623414527,1.52207007782287e-05,0.000998571751641221,1.82457134027258e-08,35
"binomial","tall",74001,"picasso",19,0.0139318415519697,0.643895585594248,0.588893176676201,0.0550024089180477,1.58138648186819e-05,0.00113380093973695,1.69603794105133e-08,35
"binomial","tall",74001,"picasso",20,0.0127466356439657,0.63903857437421,0.58489688540837,0.0541416889658403,1.62136020180944e-05,0.00127037479685004,1.54597809451235e-08,36
"binomial","tall",74001,"picasso",21,0.0116622572567979,0.634275226473422,0.58133179551233,0.0529434309610919,1.69453415447152e-05,0.00145089884365221,1.41430113725083e-08,40
"binomial","tall",74001,"picasso",22,0.0106701288185108,0.629627873695105,0.578124370257284,0.0515035034378204,1.74762751161909e-05,0.00163519094905668,1.35754148389844e-08,42
"binomial","tall",74001,"picasso",23,0.00976240246606207,0.625118686217649,0.575239881780019,0.04987880443763,1.70668099877432e-05,0.00174516729957322,1.06452023368453e-08,46
"binomial","tall",74001,"picasso",24,0.00893189796772073,0.620761093047294,0.572682256589606,0.0480788364576876,1.69533295200988e-05,0.00189446991093996,9.26730545294796e-09,48
"binomial","tall",74001,"picasso",25,0.0081720459265141,0.616569919647403,0.5704264877476,0.0461434318998031,1.69666849562048e-05,0.00207188409167177,7.89614520897708e-09,51
"binomial","tall",74001,"picasso",26,0.0074768358154563,0.612551458961073,0.568334696635054,0.0442167623260188,1.66508413050985e-05,0.00222204189688847,6.42257451544115e-09,56
"binomial","tall",74001,"picasso",27,0.0068407684335098,0.608705373127437,0.566440116640934,0.0422652564865029,1.68883023831407e-05,0.00246269287506729,6.38598594737694e-09,59
"binomial","tall",74001,"picasso",28,0.00625881240620077,0.605033741125032,0.564735018033348,0.0402987230916833,1.73526443726698e-05,0.0027648483162635,7.92315072416227e-09,64
"binomial","tall",74001,"picasso",29,0.00572636438680242,0.601536958207791,0.563209867946426,0.038327090261365,1.75843021561831e-05,0.0030613612879211,8.86237624032893e-09,66
"binomial","tall",74001,"picasso",30,0.0052392126432727,0.598215471370616,0.561842502320626,0.03637296904999,1.78489122211562e-05,0.00339522602745699,6.17022239651766e-09,72
"binomial","tall",74001,"picasso",31,0.00479350374291428,0.595065733419713,0.560610417756127,0.034455315663586,1.7625822875832e-05,0.0036635519028965,6.16985911790213e-09,75
"binomial","tall",74001,"picasso",32,0.00438571207122835,0.592085376168786,0.559515212644847,0.0325701635239385,1.72773500610899e-05,0.0039240044451504,6.39961952342283e-09,79
"binomial","tall",74001,"picasso",33,0.00401261194385219,0.589270436957669,0.558536367599307,0.0307340693583614,1.72552956768058e-05,0.00428185214330351,6.26170561507378e-09,82
"binomial","tall",74001,"picasso",34,0.00367125209098273,0.586617231577027,0.557677294076776,0.0289399375002506,1.65870876772836e-05,0.00449777955971241,5.41917360244448e-09,85
"binomial","tall",74001,"picasso",35,0.00335893231245427,0.584120914680213,0.55691399967734,0.0272069150028725,1.63253677811907e-05,0.00483677672279286,5.33943840037854e-09,89
"binomial","tall",74001,"picasso",36,0.0030731821188093,0.581776495490515,0.556254009905322,0.0255224855851927,1.61242153860919e-05,0.00521936436267706,4.90329949108526e-09,90
"binomial","tall",74001,"picasso",37,0.00281174118941041,0.579579088206212,0.555673990007239,0.0239050981989736,1.55424916335528e-05,0.00549732300927574,4.5122634976108e-09,94
"binomial","tall",74001,"picasso",38,0.00257254149301447,0.577522380488896,0.555166284638355,0.022356095850541,1.49148042002762e-05,0.0057642728947079,3.63306261194629e-09,95
"binomial","tall",74001,"picasso",39,0.00235369092938061,0.575601154461779,0.55476767062125,0.0208334838405288,9.53010257156747e-05,0.0389143890478512,2.65813486364924e-07,96
"binomial","tall",74001,"picasso",40,0.0021534583625149,0.573808555300497,0.554360101413615,0.0194484538868819,1.57649795002775e-05,0.00726756862464519,3.22802289511037e-09,98
"binomial","tall",74001,"picasso",41,0.00197025992716286,0.572139679960599,0.554066514647545,0.0180731653130542,8.55218436825365e-05,0.0416006430718409,2.12734516713456e-07,99
"binomial","tall",74001,"picasso",42,0.00180264650023247,0.570587393119707,0.55379170949534,0.0167956836243669,9.08080307783221e-05,0.0479589180997369,1.95468332158485e-07,103
"binomial","tall",74001,"picasso",43,0.00164929223804476,0.569145464106833,0.553553285850673,0.0155921782561604,8.68380449429434e-05,0.0500181615365315,1.7540833391548e-07,103
"binomial","tall",74001,"picasso",44,0.00150898408874059,0.567807787910398,0.553349568967395,0.0144582189430024,8.19879039704841e-05,0.0515332163897955,1.54110406979463e-07,105
"binomial","tall",74001,"picasso",45,0.00138061219688495,0.56656818274965,0.553175411279833,0.013392771469817,7.57067640721198e-05,0.0519850157154902,1.29474887900896e-07,107
"binomial","tall",74001,"glmnet",1,0.0690306098442477,0.692366852568226,0.692366852568226,0,2.53047582887689e-16,3.66573007914365e-15,2.53047582887689e-16,0
"binomial","tall",74001,"glmnet",2,0.0631580562184167,0.692297646202829,0.690752356591161,0.00154528961166757,5.51874337895164e-10,8.73798793244e-09,7.36230049147579e-13,2
"binomial","tall",74001,"glmnet",3,0.0577850909080602,0.69205563290525,0.688263283268112,0.00379234963713791,1.04749350374189e-07,1.81273995278562e-06,5.11578204798191e-12,2
"binomial","tall",74001,"glmnet",4,0.052869213069276,0.69164030767242,0.686175705911749,0.00546460176067139,2.07098906003511e-07,3.91719243364442e-06,1.00692252869017e-11,2
"binomial","tall",74001,"glmnet",5,0.0483715374786166,0.691020265789184,0.682284686729284,0.0087355790598996,1.00783283485395e-06,2.08348109111257e-05,3.97076994340662e-11,4
"binomial","tall",74001,"glmnet",6,0.0442564869459906,0.690046037115996,0.676797587872745,0.0132484492432509,2.34633008173307e-06,5.3013825897701e-05,1.4468467973705e-10,6
"binomial","tall",74001,"glmnet",7,0.0404915108945314,0.688694258642438,0.67173675228278,0.0169575063596577,3.40106578666788e-06,8.39874844029952e-05,2.45129083809026e-10,6
"binomial","tall",74001,"glmnet",8,0.0370468278813642,0.687058166189281,0.667207687103526,0.019850479085755,3.791409004264e-06,0.000102330516382208,2.86506001284659e-10,9
"binomial","tall",74001,"glmnet",9,0.0338951900225779,0.685096657410791,0.660300068339688,0.0247965890711028,4.68058383797099e-06,0.00013807084670952,5.29865532089557e-10,15
"binomial","tall",74001,"glmnet",10,0.0310116674589726,0.682622792908063,0.651733644845162,0.0308891480629009,6.04275347267438e-06,0.000194816233412673,1.03634618062176e-09,18
"binomial","tall",74001,"glmnet",11,0.0283734511576802,0.679620834270244,0.64307298909341,0.0365478451768339,7.04487213262772e-06,0.000248229351778324,1.35535531982367e-09,21
"binomial","tall",74001,"glmnet",12,0.0259596724897918,0.676127211806229,0.634133062555364,0.0419941492508651,9.30204858020159e-06,0.00035819853288611,1.46109182917742e-09,25
"binomial","tall",74001,"glmnet",13,0.0237512381568302,0.672178080424433,0.625657357959642,0.0465207224647903,1.06384328573961e-05,0.000447710130016121,1.33694484664992e-09,25
"binomial","tall",74001,"glmnet",14,0.021730679160313,0.667878132022788,0.617901516536989,0.0499766154857988,1.08526433094912e-05,0.000499166452829371,1.15687333868131e-09,27
"binomial","tall",74001,"glmnet",15,0.0198820126197363,0.663319978514494,0.610848694960497,0.0524712835539971,1.09113750888686e-05,0.000548505342487961,9.07171728417588e-10,30
"binomial","tall",74001,"glmnet",16,0.018190615345943,0.658570021664756,0.604417336581116,0.0541526850836391,1.12806209276069e-05,0.000619749774866246,8.1117529804331e-10,30
"binomial","tall",74001,"glmnet",17,0.016643108169823,0.6537139269802,0.598745598145189,0.0549683288350111,1.09100227335644e-05,0.00065509852381695,6.46419260771913e-10,33
"binomial","tall",74001,"glmnet",18,0.0152272501113716,0.648806172751805,0.593496094649279,0.055310078102526,1.0628917875094e-05,0.000697532632638274,7.06527344726538e-10,35
"binomial","tall",74001,"glmnet",19,0.0139318415519697,0.643895581789338,0.588886774184499,0.0550088076048394,1.02132167969313e-05,0.00073254745920316,5.59235882241493e-10,35
"binomial","tall",74001,"glmnet",20,0.0127466356439657,0.639038569718588,0.584889619022225,0.0541489506963625,9.66087411309428e-06,0.000757341607683894,4.58535059727483e-10,36
"binomial","tall",74001,"glmnet",21,0.0116622572567979,0.634275221041792,0.581323751464255,0.0529514695775367,9.41539998810213e-06,0.000806688147017894,4.84734658093289e-10,40
"binomial","tall",74001,"glmnet",22,0.0106701288185108,0.629627867746971,0.57811600830495,0.0515118594420207,9.37804631560846e-06,0.000878134771044123,6.51993493500091e-10,42
"binomial","tall",74001,"glmnet",23,0.00976240246606207,0.62511867977359,0.575231306465024,0.0498873733085663,8.89644610383572e-06,0.000910467091817144,5.89499140252192e-10,46
"binomial","tall",74001,"glmnet",24,0.00893189796772073,0.620761086068737,0.57267354202122,0.0480875440475161,8.65880884153881e-06,0.000968486533661744,4.96472886551969e-10,48
"binomial","tall",74001,"glmnet",25,0.0081720459265141,0.616569912082306,0.570417710676109,0.0461522014061971,8.08786567419242e-06,0.000988720463461859,4.19702432807867e-10,51
"binomial","tall",74001,"glmnet",26,0.0074768358154563,0.612551450896557,0.568325989920706,0.0442254609758509,7.90427517277474e-06,0.00105605205752848,2.88376947585323e-10,56
"binomial","tall",74001,"glmnet",27,0.0068407684335098,0.608705364538232,0.566431532914006,0.0422738316242255,7.55103175470017e-06,0.00110261090958153,2.42372241943123e-10,59
"binomial","tall",74001,"glmnet",28,0.00625881240620077,0.60503373185198,0.564726467050371,0.0403072648016087,7.41844886241114e-06,0.00118387736328242,2.6790129054044e-10,64
"binomial","tall",74001,"glmnet",29,0.00572636438680242,0.60153694833907,0.563201484545986,0.038335463793084,6.7248269196938e-06,0.00117298487237874,1.99650259671835e-10,66
"binomial","tall",74001,"glmnet",30,0.0052392126432727,0.598215461441906,0.561834616993516,0.0363808444483897,6.47328217723807e-06,0.00123402015851394,1.71840182555671e-10,72
"binomial","tall",74001,"glmnet",31,0.00479350374291428,0.595065723425835,0.560603033262876,0.0344626901629592,6.06200367215138e-06,0.0012630316974953,1.31204736908419e-10,75
"binomial","tall",74001,"glmnet",32,0.00438571207122835,0.592085366144235,0.559508182577411,0.0325771835668242,5.72366280853203e-06,0.00130336936600698,1.17975315003238e-10,79
"binomial","tall",74001,"glmnet",33,0.00401261194385219,0.589270427151711,0.558529739324894,0.0307406878268175,5.23526889848348e-06,0.0013030034795423,1.32021565305007e-10,82
"binomial","tall",74001,"glmnet",34,0.00367125209098273,0.5866172220621,0.557671032970875,0.028946189091226,4.9180928692826e-06,0.00133783057457075,7.23524127138608e-11,85
"binomial","tall",74001,"glmnet",35,0.00335893231245427,0.584120905279495,0.556908139639945,0.0272127656395501,4.6125157628584e-06,0.00137132578824683,6.02491080359258e-11,89
