"family","shape","package","max_relative_kkt","median_relative_kkt","max_absolute_kkt"
"binomial","tall","glmnet",0.00483360539686975,0.000968486533661744,1.20542801952759e-05
"gaussian","tall","glmnet",0.00887136042728494,7.39571489338554e-05,0.000122204911809417
"multinomial","tall","glmnet",0.0197801822205451,0.00115451323790121,5.6813069555575e-05
"poisson","tall","glmnet",0.00152768695392321,0.000363010991686745,3.92307669331918e-05
"binomial","wide","glmnet",0.0148005553019478,0.0037167417193832,7.64556859446652e-05
"gaussian","wide","glmnet",0.0535807026280701,0.00381794223782626,0.00054627505161299
"multinomial","wide","glmnet",0.0144848358538193,0.0037793961424494,0.000110410939569032
"poisson","wide","glmnet",0.0487913819569445,0.00223322056180881,0.000387565608435625
"binomial","tall","picasso",0.0544472361445097,0.00207188409167177,9.77472555472548e-05
"gaussian","tall","picasso",0.0143911253041367,0.000510892350093159,0.000220391851650827
"multinomial","tall","picasso",0.00325549833230002,0.00217103466177018,9.8878765439125e-05
"poisson","tall","picasso",0.0422892646248425,0.00275916076730256,0.00039690427446095
"sqrtlasso","tall","picasso",0.00116810215756073,0.000310642324434703,9.98025683946746e-05
"binomial","wide","picasso",0.0454336647677133,0.00721191700146558,9.98735716801133e-05
"gaussian","wide","picasso",0.0534485441839852,0.00680798826285978,0.000701690905078434
"multinomial","wide","picasso",0.00831364464315399,0.00429735064030415,9.98458103484839e-05
"poisson","wide","picasso",0.0496654612462079,0.00622552367581445,0.000399397960864478
"sqrtlasso","wide","picasso",0.00242513421557123,0.000433835983269042,0.000181398088204221
