"family","shape","seed","n","p","requested_lambda","common_lambda","picasso_version","glmnet_version","r_version"
"binomial","tall",74001,4000,120,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"binomial","tall",74002,4000,120,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"binomial","tall",74003,4000,120,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"binomial","wide",74001,350,2200,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"binomial","wide",74002,350,2200,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"binomial","wide",74003,350,2200,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"gaussian","tall",74001,4000,120,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"gaussian","tall",74002,4000,120,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"gaussian","tall",74003,4000,120,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"gaussian","wide",74001,350,2200,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"gaussian","wide",74002,350,2200,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"gaussian","wide",74003,350,2200,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"multinomial","tall",74001,4000,120,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"multinomial","tall",74002,4000,120,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"multinomial","tall",74003,4000,120,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"multinomial","wide",74001,350,2200,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"multinomial","wide",74002,350,2200,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"multinomial","wide",74003,350,2200,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"poisson","tall",74001,4000,120,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"poisson","tall",74002,4000,120,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"poisson","tall",74003,4000,120,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"poisson","wide",74001,350,2200,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"poisson","wide",74002,350,2200,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"poisson","wide",74003,350,2200,45,45,"1.6","5.0","R version 4.5.2 (2025-10-31)"
"sqrtlasso","tall",74001,4000,120,45,45,"1.6",NA,"R version 4.5.2 (2025-10-31)"
"sqrtlasso","tall",74002,4000,120,45,45,"1.6",NA,"R version 4.5.2 (2025-10-31)"
"sqrtlasso","tall",74003,4000,120,45,45,"1.6",NA,"R version 4.5.2 (2025-10-31)"
"sqrtlasso","wide",74001,350,2200,45,44,"1.6",NA,"R version 4.5.2 (2025-10-31)"
"sqrtlasso","wide",74002,350,2200,45,38,"1.6",NA,"R version 4.5.2 (2025-10-31)"
"sqrtlasso","wide",74003,350,2200,45,45,"1.6",NA,"R version 4.5.2 (2025-10-31)"
