"family","shape","seed","max_relative_objective_difference","median_relative_objective_difference","max_test_path_prediction_difference","median_test_path_prediction_difference","selected_same_lambda"
"binomial","tall",74001,3.78765784514457e-07,6.44405906413681e-09,0.000775161602569296,6.7278968786888e-05,TRUE
"binomial","tall",74002,5.01496642768551e-07,1.5210984583014e-08,0.000855470734899888,0.000108325042892932,TRUE
"binomial","tall",74003,3.7087678850245e-07,6.0748673869071e-09,0.000848520156333854,8.7628185248434e-05,TRUE
"binomial","wide",74001,2.0960258742847e-05,3.70413552536197e-06,0.109482009454931,0.0169494053516348,TRUE
"binomial","wide",74002,2.11188073304946e-05,3.41786156876633e-06,0.096013651947744,0.0170155280968999,TRUE
"binomial","wide",74003,2.23423948329526e-05,5.96662996937836e-06,0.125150607953995,0.020955374591645,TRUE
"gaussian","tall",74001,1.33573043292756e-07,2.39485018927445e-09,0.00161081257395956,0.000414725283691353,TRUE
"gaussian","tall",74002,8.02381794340334e-08,3.2779973413249e-09,0.00145215216562367,0.000398445469262709,TRUE
"gaussian","tall",74003,8.35840195945181e-08,1.61636288800195e-09,0.00144694683316882,0.000322899734912507,TRUE
"gaussian","wide",74001,2.36981494243782e-05,3.10615721699214e-06,0.0925871990269147,0.029484407997564,TRUE
"gaussian","wide",74002,2.35139307944721e-05,3.54598413410685e-06,0.0703647788336865,0.0423044751627339,TRUE
"gaussian","wide",74003,3.30103754042632e-05,1.50849614033366e-06,0.0935672303222037,0.0167018803600127,TRUE
"multinomial","tall",74001,1.18662836809323e-07,4.17042821791917e-08,0.000840406240424141,0.000365311030942062,TRUE
"multinomial","tall",74002,8.13944433440468e-08,4.17496832282024e-08,0.000678221946604829,0.000399842198948397,TRUE
"multinomial","tall",74003,1.14816218844023e-07,4.36295848736507e-08,0.000876112165965837,0.000370951139892273,TRUE
"multinomial","wide",74001,2.29838938495264e-06,5.76107802963133e-07,0.0372006968864691,0.00597166272247929,TRUE
"multinomial","wide",74002,2.59552671971752e-06,2.64623531642805e-07,0.0310523679821287,0.00360761198967152,TRUE
"multinomial","wide",74003,4.1954646848863e-06,5.70859487043796e-07,0.0414580921003845,0.0112668432652949,TRUE
"poisson","tall",74001,7.51634668394452e-07,3.75076201208913e-08,0.021356111238676,0.00368109809125716,TRUE
"poisson","tall",74002,7.30129900650134e-07,5.53191963348354e-08,0.0192775371803293,0.00422734079771736,TRUE
"poisson","tall",74003,5.25054144495662e-07,2.68745262710368e-08,0.0181197937633488,0.0025250202477185,TRUE
"poisson","wide",74001,2.15680105379729e-05,1.79963736468558e-06,0.92299437587225,0.050950276668023,TRUE
"poisson","wide",74002,1.79617850153135e-05,1.57768519037926e-06,2.35038584890502,0.039647084929106,TRUE
"poisson","wide",74003,2.62178677726266e-05,3.22194560981037e-06,1.03725274809845,0.0525704589638107,TRUE
