"family","shape","seed","config","package","repetition","batch_size","seconds","block_seconds","object_mb","reported_picasso_seconds","path_fitted"
"binomial","tall",74001,"public_default","picasso",1,4,0.03725,0.149,0.0381317138671875,0.0345759391784668,45
"binomial","tall",74001,"public_default","glmnet",1,3,0.0533333333333333,0.16,4.74150848388672,NA,45
"binomial","tall",74001,"public_default","glmnet",2,3,0.0526666666666666,0.158,4.74150848388672,NA,45
"binomial","tall",74001,"public_default","picasso",2,4,0.037,0.148,0.0381317138671875,0.0347120761871338,45
"binomial","tall",74001,"public_default","picasso",3,4,0.037,0.148,0.0381317138671875,0.034883975982666,45
"binomial","tall",74001,"public_default","glmnet",3,3,0.0529999999999999,0.159,4.74150848388672,NA,45
"binomial","tall",74001,"public_default","glmnet",4,3,0.0530000000000001,0.159,4.74150848388672,NA,45
"binomial","tall",74001,"public_default","picasso",4,4,0.0375,0.15,0.0381317138671875,0.0348389148712158,45
"binomial","tall",74001,"public_default","picasso",5,4,0.03825,0.153,0.0381317138671875,0.036344051361084,45
"binomial","tall",74001,"public_default","glmnet",5,3,0.0526666666666666,0.158,4.74150848388672,NA,45
"binomial","tall",74001,"public_default","glmnet",6,3,0.0529999999999999,0.159,4.74150848388672,NA,45
"binomial","tall",74001,"public_default","picasso",6,4,0.03675,0.147,0.0381317138671875,0.0334560871124268,45
"binomial","tall",74001,"public_default","picasso",7,4,0.03675,0.147,0.0381317138671875,0.0337769985198975,45
"binomial","tall",74001,"public_default","glmnet",7,3,0.0526666666666666,0.158,4.74150848388672,NA,45
"binomial","tall",74002,"public_default","picasso",1,4,0.03825,0.153,0.0389175415039062,0.0350780487060547,45
"binomial","tall",74002,"public_default","glmnet",1,3,0.0543333333333333,0.163,4.7423095703125,NA,45
"binomial","tall",74002,"public_default","glmnet",2,3,0.0536666666666667,0.161,4.7423095703125,NA,45
"binomial","tall",74002,"public_default","picasso",2,4,0.03875,0.155,0.0389175415039062,0.0376811027526855,45
"binomial","tall",74002,"public_default","picasso",3,4,0.0392500000000001,0.157,0.0389175415039062,0.0357940196990967,45
"binomial","tall",74002,"public_default","glmnet",3,3,0.0546666666666667,0.164,4.7423095703125,NA,45
