"family","shape","config","package","observations","median_seconds","q1_seconds","q3_seconds","object_mb"
"gaussian","tall","matched_covariance","glmnet",21,0.00836842105263157,0.00823529411764709,0.00864705882352943,4.74576568603516
"gaussian","tall","matched_naive","glmnet",21,0.01725,0.0165,0.017375,4.74575805664062
"binomial","tall","public_default","glmnet",21,0.0536666666666667,0.0530000000000001,0.0543333333333333,4.74150848388672
"gaussian","tall","public_default","glmnet",21,0.00844444444444445,0.00780000000000001,0.00924999999999998,4.74554443359375
"multinomial","tall","public_default","glmnet",21,0.146,0.1345,0.149,4.81845092773438
"poisson","tall","public_default","glmnet",21,0.0323333333333333,0.0313333333333334,0.0333333333333333,4.73735046386719
"binomial","wide","public_default","glmnet",21,0.039,0.038,0.0393333333333334,7.14693450927734
"gaussian","wide","public_default","glmnet",21,0.0239999999999999,0.0238,0.0242,7.15138244628906
"multinomial","wide","public_default","glmnet",21,0.153,0.142,0.159,7.64413452148438
"poisson","wide","public_default","glmnet",21,0.0573333333333333,0.0569999999999999,0.0583333333333334,7.15146636962891
"gaussian","tall","matched_covariance","picasso",21,0.0118333333333333,0.0114375,0.0122222222222224,0.022003173828125
"gaussian","tall","matched_naive","picasso",21,0.0144166666666666,0.0139,0.0156,0.0219879150390625
"binomial","tall","public_default","picasso",21,0.0375,0.03675,0.03875,0.0381317138671875
"gaussian","tall","public_default","picasso",21,0.0146666666666667,0.0142222222222222,0.0155555555555556,0.0219879150390625
"multinomial","tall","public_default","picasso",21,0.155,0.143,0.158,0.0800552368164062
"poisson","tall","public_default","picasso",21,0.026,0.0258,0.026,0.0346603393554688
"sqrtlasso","tall","public_default","picasso",21,0.02,0.0194,0.0202,0.020263671875
"binomial","wide","public_default","picasso",21,0.0274999999999999,0.0265,0.0285,0.103179931640625
"gaussian","wide","public_default","picasso",21,0.0255,0.025,0.0261666666666667,0.100540161132812
"multinomial","wide","public_default","picasso",21,0.1325,0.1305,0.137,0.183479309082031
"poisson","wide","public_default","picasso",21,0.0593333333333333,0.056,0.0609999999999999,0.107696533203125
"sqrtlasso","wide","public_default","picasso",21,0.288,0.0282,0.433,0.053131103515625
