"family","shape","seed","package","lambda_index","lambda","validation_metric","validation_value"
"binomial","tall",74001,"picasso",37,0.00281174118941041,"logloss",0.568073542920202
"binomial","tall",74001,"glmnet",37,0.00281174118941041,"logloss",0.56806940729214
"binomial","tall",74002,"picasso",29,0.00546752337820695,"logloss",0.570157613399073
"binomial","tall",74002,"glmnet",29,0.00546752337820695,"logloss",0.570151027834131
"binomial","tall",74003,"picasso",33,0.00395283371520409,"logloss",0.573368611636097
"binomial","tall",74003,"glmnet",33,0.00395283371520409,"logloss",0.573362395243175
"binomial","wide",74001,"picasso",1,0.0933183411524672,"logloss",0.69001066486353
"binomial","wide",74001,"glmnet",1,0.0933183411524672,"logloss",0.69001066486353
"binomial","wide",74002,"picasso",5,0.0637691331080773,"logloss",0.690998108149464
"binomial","wide",74002,"glmnet",5,0.0637691331080773,"logloss",0.691000174535526
"binomial","wide",74003,"picasso",3,0.0702534292488813,"logloss",0.690045075571208
"binomial","wide",74003,"glmnet",3,0.0702534292488813,"logloss",0.690045104745533
"gaussian","tall",74001,"picasso",40,0.0163211005554588,"mse",0.97757303958347
"gaussian","tall",74001,"glmnet",40,0.0163211005554588,"mse",0.977627625860418
"gaussian","tall",74002,"picasso",45,0.011698855585368,"mse",1.01899634069924
"gaussian","tall",74002,"glmnet",45,0.011698855585368,"mse",1.0189418894329
"gaussian","tall",74003,"picasso",45,0.0112127576161867,"mse",1.04557149105024
"gaussian","tall",74003,"glmnet",45,0.0112127576161867,"mse",1.04555575240727
"gaussian","wide",74001,"picasso",22,0.0782012036762564,"mse",4.67049486574733
"gaussian","wide",74001,"glmnet",22,0.0782012036762564,"mse",4.66256984301274
"gaussian","wide",74002,"picasso",17,0.108828147559454,"mse",3.7838949451918
"gaussian","wide",74002,"glmnet",17,0.108828147559454,"mse",3.77958457466911
"gaussian","wide",74003,"picasso",23,0.0894906052951019,"mse",4.19555617979741
"gaussian","wide",74003,"glmnet",23,0.0894906052951019,"mse",4.1887892277495
"multinomial","tall",74001,"picasso",37,0.00402692990827206,"logloss",1.07164420146709
"multinomial","tall",74001,"glmnet",37,0.00402692990827206,"logloss",1.07163380251035
"multinomial","tall",74002,"picasso",38,0.00384297798570399,"logloss",1.0704676421506
"multinomial","tall",74002,"glmnet",38,0.00384297798570399,"logloss",1.0704663765279
"multinomial","tall",74003,"picasso",38,0.00485521735094618,"logloss",1.04317844995066
"multinomial","tall",74003,"glmnet",38,0.00485521735094618,"logloss",1.04316949538761
"multinomial","wide",74001,"picasso",8,0.0615178598945255,"logloss",1.34767225444274
"multinomial","wide",74001,"glmnet",8,0.0615178598945255,"logloss",1.34766395748309
"multinomial","wide",74002,"picasso",14,0.0475871217437502,"logloss",1.27645755388703
"multinomial","wide",74002,"glmnet",14,0.0475871217437502,"logloss",1.27643247757664
"multinomial","wide",74003,"picasso",11,0.045863203869585,"logloss",1.26428218483694
"multinomial","wide",74003,"glmnet",11,0.045863203869585,"logloss",1.26427815996873
"poisson","tall",74001,"picasso",39,0.00887129799148925,"deviance",1.1772078739105
"poisson","tall",74001,"glmnet",39,0.00887129799148925,"deviance",1.17704775914795
"poisson","tall",74002,"picasso",32,0.0195388612940401,"deviance",1.15532110340769
"poisson","tall",74002,"glmnet",32,0.0195388612940401,"deviance",1.15527765330692
"poisson","tall",74003,"picasso",43,0.0064998217473651,"deviance",1.06122314660577
"poisson","tall",74003,"glmnet",43,0.0064998217473651,"deviance",1.06119363080407
"poisson","wide",74001,"picasso",6,0.242615121989439,"deviance",2.03654628467655
"poisson","wide",74001,"glmnet",6,0.242615121989439,"deviance",2.03654528216294
"poisson","wide",74002,"picasso",3,0.299008104111141,"deviance",1.32205247363378
"poisson","wide",74002,"glmnet",3,0.299008104111141,"deviance",1.3221103835019
"poisson","wide",74003,"picasso",7,0.22758665554794,"deviance",1.89725219994508
"poisson","wide",74003,"glmnet",7,0.22758665554794,"deviance",1.8972470575969
"sqrtlasso","tall",74001,"picasso",45,0.0702368091006244,"mse",1.18591119800385
"sqrtlasso","tall",74002,"picasso",45,0.0786144664790893,"mse",1.44328135589102
"sqrtlasso","tall",74003,"picasso",45,0.0751351981830296,"mse",1.33107932986919
"sqrtlasso","wide",74001,"picasso",37,0.0878130418848883,"mse",4.66561765316751
"sqrtlasso","wide",74002,"picasso",28,0.0982165952029164,"mse",3.78227652891264
"sqrtlasso","wide",74003,"picasso",41,0.0954080936823208,"mse",4.1916106112127
