"family","shape","seed","package","total_passes","total_outer_iterations","total_inner_sweeps","total_coordinate_updates","native_lambda_seconds","glmnet_npasses"
"binomial","tall",74001,"picasso",79,NA,NA,NA,NA,NA
"binomial","tall",74001,"glmnet",NA,NA,NA,NA,NA,255
"binomial","tall",74002,"picasso",79,NA,NA,NA,NA,NA
"binomial","tall",74002,"glmnet",NA,NA,NA,NA,NA,254
"binomial","tall",74003,"picasso",77,NA,NA,NA,NA,NA
"binomial","tall",74003,"glmnet",NA,NA,NA,NA,NA,257
"binomial","wide",74001,"picasso",103,NA,NA,NA,NA,NA
"binomial","wide",74001,"glmnet",NA,NA,NA,NA,NA,452
"binomial","wide",74002,"picasso",105,NA,NA,NA,NA,NA
"binomial","wide",74002,"glmnet",NA,NA,NA,NA,NA,444
"binomial","wide",74003,"picasso",114,NA,NA,NA,NA,NA
"binomial","wide",74003,"glmnet",NA,NA,NA,NA,NA,443
"gaussian","tall",74001,"picasso",145,NA,NA,NA,NA,NA
"gaussian","tall",74001,"glmnet",NA,NA,NA,NA,NA,239
"gaussian","tall",74002,"picasso",149,NA,NA,NA,NA,NA
"gaussian","tall",74002,"glmnet",NA,NA,NA,NA,NA,265
"gaussian","tall",74003,"picasso",145,NA,NA,NA,NA,NA
"gaussian","tall",74003,"glmnet",NA,NA,NA,NA,NA,257
"gaussian","wide",74001,"picasso",296,NA,NA,NA,NA,NA
"gaussian","wide",74001,"glmnet",NA,NA,NA,NA,NA,441
"gaussian","wide",74002,"picasso",292,NA,NA,NA,NA,NA
"gaussian","wide",74002,"glmnet",NA,NA,NA,NA,NA,447
"gaussian","wide",74003,"picasso",284,NA,NA,NA,NA,NA
"gaussian","wide",74003,"glmnet",NA,NA,NA,NA,NA,430
"multinomial","tall",74001,"picasso",223,45,223,44854,0.15321104,NA
"multinomial","tall",74001,"glmnet",NA,NA,NA,NA,NA,1261
"multinomial","tall",74002,"picasso",223,46,223,41861,0.151856624,NA
"multinomial","tall",74002,"glmnet",NA,NA,NA,NA,NA,1232
"multinomial","tall",74003,"picasso",240,48,240,37731,0.141894253,NA
"multinomial","tall",74003,"glmnet",NA,NA,NA,NA,NA,1167
"multinomial","wide",74001,"picasso",390,61,390,354110,0.120420121,NA
"multinomial","wide",74001,"glmnet",NA,NA,NA,NA,NA,1998
"multinomial","wide",74002,"picasso",435,68,435,358117,0.118165541,NA
"multinomial","wide",74002,"glmnet",NA,NA,NA,NA,NA,2015
"multinomial","wide",74003,"picasso",402,61,402,389518,0.137256252,NA
"multinomial","wide",74003,"glmnet",NA,NA,NA,NA,NA,2078
"poisson","tall",74001,"picasso",72,NA,NA,NA,NA,NA
"poisson","tall",74001,"glmnet",NA,NA,NA,NA,NA,268
"poisson","tall",74002,"picasso",77,NA,NA,NA,NA,NA
"poisson","tall",74002,"glmnet",NA,NA,NA,NA,NA,289
"poisson","tall",74003,"picasso",74,NA,NA,NA,NA,NA
"poisson","tall",74003,"glmnet",NA,NA,NA,NA,NA,264
"poisson","wide",74001,"picasso",263,NA,NA,NA,NA,NA
"poisson","wide",74001,"glmnet",NA,NA,NA,NA,NA,823
"poisson","wide",74002,"picasso",267,NA,NA,NA,NA,NA
"poisson","wide",74002,"glmnet",NA,NA,NA,NA,NA,827
"poisson","wide",74003,"picasso",250,NA,NA,NA,NA,NA
"poisson","wide",74003,"glmnet",NA,NA,NA,NA,NA,812
"sqrtlasso","tall",74001,"picasso",108,NA,NA,NA,NA,NA
"sqrtlasso","tall",74002,"picasso",106,NA,NA,NA,NA,NA
"sqrtlasso","tall",74003,"picasso",110,NA,NA,NA,NA,NA
"sqrtlasso","wide",74001,"picasso",1488,NA,NA,NA,NA,NA
"sqrtlasso","wide",74002,"picasso",2185,NA,NA,NA,NA,NA
"sqrtlasso","wide",74003,"picasso",181,NA,NA,NA,NA,NA
