case,penalty,variant,run1_seconds,run2_seconds,run3_seconds,median_seconds
dense-control,mcp,baseline,9.735761164,9.775638083,10.134016123,9.775638083
dense-control,mcp,interval4,7.418861625,6.868046168,6.869713750,6.869713750
dense-control,scad,baseline,8.829446543,8.776623249,8.804742834,8.804742834
dense-control,scad,interval4,5.992721292,6.013914958,6.124498582,6.013914958
sparse-k3,mcp,baseline,0.465574710,0.471991376,0.476431667,0.471991376
sparse-k3,mcp,interval4,0.434892085,0.438633501,0.436045460,0.436045460
sparse-k3,scad,baseline,0.422322542,0.421650957,0.428209045,0.422322542
sparse-k3,scad,interval4,0.398674875,0.396977208,0.403538418,0.398674875
wide-k4,mcp,baseline,0.515855708,0.516558335,0.517155208,0.516558335
wide-k4,mcp,interval4,0.497204210,0.495975999,0.502137462,0.497204210
wide-k4,scad,baseline,0.470292127,0.502272001,0.471854710,0.471854710
wide-k4,scad,interval4,0.454502372,0.452466040,0.471134249,0.454502372
high-k12,mcp,baseline,0.694374083,0.697032123,0.695269414,0.695269414
high-k12,mcp,interval4,0.661212375,0.640491958,0.637512042,0.640491958
high-k12,scad,baseline,0.658137415,0.637572458,0.649680709,0.649680709
high-k12,scad,interval4,0.618547333,0.595102957,0.584588001,0.595102957
