benchmark,pass,family,implementation,order,value,unit
rprofmem_total,1,gaussian,unconditional_coercion,1,165695168,bytes
rprofmem_total,1,gaussian,type_checked_coercion,2,85695920,bytes
rprofmem_large_allocation,1,gaussian,unconditional_coercion,1,80000048,bytes
rprofmem_large_allocation,1,gaussian,type_checked_coercion,2,0,bytes
fresh_process_rss,1,multinomial,unconditional_coercion,1,535838720,bytes
fresh_process_rss,1,multinomial,type_checked_coercion,2,460406784,bytes
path_median,1,gaussian,unconditional_coercion,1,0.159,seconds
path_median,1,gaussian,type_checked_coercion,2,0.148,seconds
path_median,2,gaussian,type_checked_coercion,1,0.157,seconds
path_median,2,gaussian,unconditional_coercion,2,0.166,seconds
path_median,1,binomial,type_checked_coercion,1,0.290,seconds
path_median,1,binomial,unconditional_coercion,2,0.301,seconds
path_median,2,binomial,unconditional_coercion,1,0.304,seconds
path_median,2,binomial,type_checked_coercion,2,0.293,seconds
path_median,1,poisson,unconditional_coercion,1,0.465,seconds
path_median,1,poisson,type_checked_coercion,2,0.456,seconds
path_median,2,poisson,type_checked_coercion,1,0.458,seconds
path_median,2,poisson,unconditional_coercion,2,0.467,seconds
path_median,1,sqrtlasso,type_checked_coercion,1,0.155,seconds
path_median,1,sqrtlasso,unconditional_coercion,2,0.177,seconds
path_median,2,sqrtlasso,unconditional_coercion,1,0.165,seconds
path_median,2,sqrtlasso,type_checked_coercion,2,0.158,seconds
path_median,1,multinomial,unconditional_coercion,1,0.108,seconds
path_median,1,multinomial,type_checked_coercion,2,0.100,seconds
path_median,2,multinomial,type_checked_coercion,1,0.099,seconds
path_median,2,multinomial,unconditional_coercion,2,0.109,seconds
