"case","repetition","implementation","elapsed_seconds","allocated_bytes","maximum_rss_bytes","checksum","observations","classes","lambdas","script_hash","old_source_hash","new_source_hash","r_version","platform","matrix_version","blas","lapack","cpu","threads"
"assess",1,"old",6.389,1342086696,457457664,"068d87d571e43584b62cc5a4f20102fd",60000,3,60,"650b2b594282d4f082a60b6d5c5ff090","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=895b5293f5224fb67fdf6d80238bf85e;assess.picasso.R=d99c54574ff2506317c1e2baaf808b70;cv.picasso.R=bcd1a95a3352e0b20986c06b3e9b5f70","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=a32f759c161a59448b5dcc7ad4723642;assess.picasso.R=db436a2d678aa687f2f015cf48f28266;cv.picasso.R=487d5ea98debebcd934bd82436ebc6f6","R version 4.5.2 (2025-10-31)","aarch64-apple-darwin20","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib","Apple M3 Pro","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>"
"assess",1,"new",6.556,1342084208,378486784,"068d87d571e43584b62cc5a4f20102fd",60000,3,60,"650b2b594282d4f082a60b6d5c5ff090","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=895b5293f5224fb67fdf6d80238bf85e;assess.picasso.R=d99c54574ff2506317c1e2baaf808b70;cv.picasso.R=bcd1a95a3352e0b20986c06b3e9b5f70","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=a32f759c161a59448b5dcc7ad4723642;assess.picasso.R=db436a2d678aa687f2f015cf48f28266;cv.picasso.R=487d5ea98debebcd934bd82436ebc6f6","R version 4.5.2 (2025-10-31)","aarch64-apple-darwin20","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib","Apple M3 Pro","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>"
"assess",2,"new",6.108,1342084208,399949824,"068d87d571e43584b62cc5a4f20102fd",60000,3,60,"650b2b594282d4f082a60b6d5c5ff090","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=895b5293f5224fb67fdf6d80238bf85e;assess.picasso.R=d99c54574ff2506317c1e2baaf808b70;cv.picasso.R=bcd1a95a3352e0b20986c06b3e9b5f70","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=a32f759c161a59448b5dcc7ad4723642;assess.picasso.R=db436a2d678aa687f2f015cf48f28266;cv.picasso.R=487d5ea98debebcd934bd82436ebc6f6","R version 4.5.2 (2025-10-31)","aarch64-apple-darwin20","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib","Apple M3 Pro","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>"
"assess",2,"old",6.224,1342086696,484737024,"068d87d571e43584b62cc5a4f20102fd",60000,3,60,"650b2b594282d4f082a60b6d5c5ff090","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=895b5293f5224fb67fdf6d80238bf85e;assess.picasso.R=d99c54574ff2506317c1e2baaf808b70;cv.picasso.R=bcd1a95a3352e0b20986c06b3e9b5f70","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=a32f759c161a59448b5dcc7ad4723642;assess.picasso.R=db436a2d678aa687f2f015cf48f28266;cv.picasso.R=487d5ea98debebcd934bd82436ebc6f6","R version 4.5.2 (2025-10-31)","aarch64-apple-darwin20","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib","Apple M3 Pro","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>"
"assess",3,"old",6.269,1342086696,452771840,"068d87d571e43584b62cc5a4f20102fd",60000,3,60,"650b2b594282d4f082a60b6d5c5ff090","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=895b5293f5224fb67fdf6d80238bf85e;assess.picasso.R=d99c54574ff2506317c1e2baaf808b70;cv.picasso.R=bcd1a95a3352e0b20986c06b3e9b5f70","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=a32f759c161a59448b5dcc7ad4723642;assess.picasso.R=db436a2d678aa687f2f015cf48f28266;cv.picasso.R=487d5ea98debebcd934bd82436ebc6f6","R version 4.5.2 (2025-10-31)","aarch64-apple-darwin20","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib","Apple M3 Pro","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>"
"assess",3,"new",6.289,1342084208,447004672,"068d87d571e43584b62cc5a4f20102fd",60000,3,60,"650b2b594282d4f082a60b6d5c5ff090","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=895b5293f5224fb67fdf6d80238bf85e;assess.picasso.R=d99c54574ff2506317c1e2baaf808b70;cv.picasso.R=bcd1a95a3352e0b20986c06b3e9b5f70","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=a32f759c161a59448b5dcc7ad4723642;assess.picasso.R=db436a2d678aa687f2f015cf48f28266;cv.picasso.R=487d5ea98debebcd934bd82436ebc6f6","R version 4.5.2 (2025-10-31)","aarch64-apple-darwin20","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib","Apple M3 Pro","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>"
"assess",4,"new",6.028,1342084208,417300480,"068d87d571e43584b62cc5a4f20102fd",60000,3,60,"650b2b594282d4f082a60b6d5c5ff090","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=895b5293f5224fb67fdf6d80238bf85e;assess.picasso.R=d99c54574ff2506317c1e2baaf808b70;cv.picasso.R=bcd1a95a3352e0b20986c06b3e9b5f70","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=a32f759c161a59448b5dcc7ad4723642;assess.picasso.R=db436a2d678aa687f2f015cf48f28266;cv.picasso.R=487d5ea98debebcd934bd82436ebc6f6","R version 4.5.2 (2025-10-31)","aarch64-apple-darwin20","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib","Apple M3 Pro","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>"
"assess",4,"old",6.247,1342086696,463372288,"068d87d571e43584b62cc5a4f20102fd",60000,3,60,"650b2b594282d4f082a60b6d5c5ff090","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=895b5293f5224fb67fdf6d80238bf85e;assess.picasso.R=d99c54574ff2506317c1e2baaf808b70;cv.picasso.R=bcd1a95a3352e0b20986c06b3e9b5f70","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=a32f759c161a59448b5dcc7ad4723642;assess.picasso.R=db436a2d678aa687f2f015cf48f28266;cv.picasso.R=487d5ea98debebcd934bd82436ebc6f6","R version 4.5.2 (2025-10-31)","aarch64-apple-darwin20","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib","Apple M3 Pro","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>"
"assess",5,"old",6.121,1342086696,482803712,"068d87d571e43584b62cc5a4f20102fd",60000,3,60,"650b2b594282d4f082a60b6d5c5ff090","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=895b5293f5224fb67fdf6d80238bf85e;assess.picasso.R=d99c54574ff2506317c1e2baaf808b70;cv.picasso.R=bcd1a95a3352e0b20986c06b3e9b5f70","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=a32f759c161a59448b5dcc7ad4723642;assess.picasso.R=db436a2d678aa687f2f015cf48f28266;cv.picasso.R=487d5ea98debebcd934bd82436ebc6f6","R version 4.5.2 (2025-10-31)","aarch64-apple-darwin20","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib","Apple M3 Pro","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>"
"assess",5,"new",6.104,1342084208,425443328,"068d87d571e43584b62cc5a4f20102fd",60000,3,60,"650b2b594282d4f082a60b6d5c5ff090","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=895b5293f5224fb67fdf6d80238bf85e;assess.picasso.R=d99c54574ff2506317c1e2baaf808b70;cv.picasso.R=bcd1a95a3352e0b20986c06b3e9b5f70","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=a32f759c161a59448b5dcc7ad4723642;assess.picasso.R=db436a2d678aa687f2f015cf48f28266;cv.picasso.R=487d5ea98debebcd934bd82436ebc6f6","R version 4.5.2 (2025-10-31)","aarch64-apple-darwin20","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib","Apple M3 Pro","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>"
"assess",6,"new",6.001,1342084208,426541056,"068d87d571e43584b62cc5a4f20102fd",60000,3,60,"650b2b594282d4f082a60b6d5c5ff090","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=895b5293f5224fb67fdf6d80238bf85e;assess.picasso.R=d99c54574ff2506317c1e2baaf808b70;cv.picasso.R=bcd1a95a3352e0b20986c06b3e9b5f70","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=a32f759c161a59448b5dcc7ad4723642;assess.picasso.R=db436a2d678aa687f2f015cf48f28266;cv.picasso.R=487d5ea98debebcd934bd82436ebc6f6","R version 4.5.2 (2025-10-31)","aarch64-apple-darwin20","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib","Apple M3 Pro","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>"
"assess",6,"old",6.208,1342086696,479002624,"068d87d571e43584b62cc5a4f20102fd",60000,3,60,"650b2b594282d4f082a60b6d5c5ff090","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=895b5293f5224fb67fdf6d80238bf85e;assess.picasso.R=d99c54574ff2506317c1e2baaf808b70;cv.picasso.R=bcd1a95a3352e0b20986c06b3e9b5f70","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=a32f759c161a59448b5dcc7ad4723642;assess.picasso.R=db436a2d678aa687f2f015cf48f28266;cv.picasso.R=487d5ea98debebcd934bd82436ebc6f6","R version 4.5.2 (2025-10-31)","aarch64-apple-darwin20","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib","Apple M3 Pro","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>"
"assess",7,"old",6.086,1342086696,486883328,"068d87d571e43584b62cc5a4f20102fd",60000,3,60,"650b2b594282d4f082a60b6d5c5ff090","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=895b5293f5224fb67fdf6d80238bf85e;assess.picasso.R=d99c54574ff2506317c1e2baaf808b70;cv.picasso.R=bcd1a95a3352e0b20986c06b3e9b5f70","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=a32f759c161a59448b5dcc7ad4723642;assess.picasso.R=db436a2d678aa687f2f015cf48f28266;cv.picasso.R=487d5ea98debebcd934bd82436ebc6f6","R version 4.5.2 (2025-10-31)","aarch64-apple-darwin20","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib","Apple M3 Pro","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>"
"assess",7,"new",6.117,1342084208,411648000,"068d87d571e43584b62cc5a4f20102fd",60000,3,60,"650b2b594282d4f082a60b6d5c5ff090","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=895b5293f5224fb67fdf6d80238bf85e;assess.picasso.R=d99c54574ff2506317c1e2baaf808b70;cv.picasso.R=bcd1a95a3352e0b20986c06b3e9b5f70","picasso_utils.R=ccc0f6df895a9dc134a33e2ca1d625bb;picasso.multinomial.R=a32f759c161a59448b5dcc7ad4723642;assess.picasso.R=db436a2d678aa687f2f015cf48f28266;cv.picasso.R=487d5ea98debebcd934bd82436ebc6f6","R version 4.5.2 (2025-10-31)","aarch64-apple-darwin20","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib","Apple M3 Pro","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>"
