benchmark,pass,family,implementation,order,value,unit
fresh_process_rss,1,gaussian,owned,1,460308480,bytes
fresh_process_rss,1,gaussian,borrowed,2,392019968,bytes
fresh_process_rss,1,binomial,borrowed,1,397475840,bytes
fresh_process_rss,1,binomial,owned,2,471367680,bytes
fresh_process_rss,1,poisson,owned,1,471154688,bytes
fresh_process_rss,1,poisson,borrowed,2,395444224,bytes
fresh_process_rss,1,sqrtlasso,borrowed,1,381239296,bytes
fresh_process_rss,1,sqrtlasso,owned,2,463683584,bytes
path_median,1,gaussian,owned,1,0.124,seconds
path_median,1,gaussian,borrowed,2,0.110,seconds
path_median,2,gaussian,borrowed,1,0.114,seconds
path_median,2,gaussian,owned,2,0.116,seconds
path_median,1,binomial,borrowed,1,0.225,seconds
path_median,1,binomial,owned,2,0.222,seconds
path_median,2,binomial,owned,1,0.222,seconds
path_median,2,binomial,borrowed,2,0.217,seconds
path_median,1,poisson,owned,1,0.335,seconds
path_median,1,poisson,borrowed,2,0.330,seconds
path_median,2,poisson,borrowed,1,0.332,seconds
path_median,2,poisson,owned,2,0.334,seconds
path_median,1,sqrtlasso,borrowed,1,0.116,seconds
path_median,1,sqrtlasso,owned,2,0.121,seconds
path_median,2,sqrtlasso,owned,1,0.120,seconds
path_median,2,sqrtlasso,borrowed,2,0.119,seconds
